"Block1","dist","agent","persona"
43,"memory_only","agent_1","persona_3"
43,"memory_only","agent_4","persona_3"
44,"document_only","agent_2","persona_1"
44,"integrated","agent_1","persona_1"
44,"integrated","agent_2","persona_1"
44,"memory_only","agent_2","persona_1"
44,"document_only","agent_2","persona_2"
44,"integrated","agent_1","persona_2"
44,"integrated","agent_2","persona_2"
44,"memory_only","agent_2","persona_2"
44,"document_only","agent_2","persona_3"
44,"integrated","agent_1","persona_3"
44,"integrated","agent_2","persona_3"
44,"memory_only","agent_2","persona_3"
45,"document_only","agent_1","persona_1"
45,"document_only","agent_2","persona_1"
45,"document_only","agent_4","persona_1"
45,"integrated","agent_1","persona_1"
45,"document_only","agent_1","persona_2"
45,"document_only","agent_2","persona_2"
45,"document_only","agent_4","persona_2"
45,"integrated","agent_1","persona_2"
45,"document_only","agent_1","persona_3"
45,"document_only","agent_2","persona_3"
45,"document_only","agent_4","persona_3"
45,"integrated","agent_1","persona_3"
46,"document_only","agent_1","persona_1"
46,"document_only","agent_2","persona_1"
46,"memory_only","agent_1","persona_1"
46,"memory_only","agent_4","persona_1"
46,"document_only","agent_1","persona_2"
46,"document_only","agent_2","persona_2"
46,"memory_only","agent_1","persona_2"
46,"memory_only","agent_4","persona_2"
46,"document_only","agent_1","persona_3"
46,"document_only","agent_2","persona_3"
46,"memory_only","agent_1","persona_3"
46,"memory_only","agent_4","persona_3"
47,"document_only","agent_1","persona_1"
47,"integrated","agent_1","persona_1"
47,"integrated","agent_2","persona_1"
47,"memory_only","agent_4","persona_1"
47,"document_only","agent_1","persona_2"
47,"integrated","agent_1","persona_2"
47,"integrated","agent_2","persona_2"
47,"memory_only","agent_4","persona_2"
47,"document_only","agent_1","persona_3"
47,"integrated","agent_1","persona_3"
47,"integrated","agent_2","persona_3"
47,"memory_only","agent_4","persona_3"
48,"document_only","agent_4","persona_1"
48,"integrated","agent_3","persona_1"
48,"memory_only","agent_1","persona_1"
48,"memory_only","agent_2","persona_1"
48,"document_only","agent_4","persona_2"
48,"integrated","agent_3","persona_2"
48,"memory_only","agent_1","persona_2"
48,"memory_only","agent_2","persona_2"
48,"document_only","agent_4","persona_3"
48,"integrated","agent_3","persona_3"
48,"memory_only","agent_1","persona_3"
48,"memory_only","agent_2","persona_3"
49,"document_only","agent_4","persona_1"
49,"integrated","agent_2","persona_1"
49,"memory_only","agent_2","persona_1"
49,"memory_only","agent_4","persona_1"
49,"document_only","agent_4","persona_2"
49,"integrated","agent_2","persona_2"
49,"memory_only","agent_2","persona_2"
49,"memory_only","agent_4","persona_2"
49,"document_only","agent_4","persona_3"
49,"integrated","agent_2","persona_3"
49,"memory_only","agent_2","persona_3"
49,"memory_only","agent_4","persona_3"
50,"document_only","agent_1","persona_1"
50,"document_only","agent_2","persona_1"
50,"memory_only","agent_3","persona_1"
50,"memory_only","agent_4","persona_1"
50,"document_only","agent_1","persona_2"
50,"document_only","agent_2","persona_2"
50,"memory_only","agent_3","persona_2"
50,"memory_only","agent_4","persona_2"
50,"document_only","agent_1","persona_3"
50,"document_only","agent_2","persona_3"
50,"memory_only","agent_3","persona_3"
50,"memory_only","agent_4","persona_3"
51,"document_only","agent_2","persona_1"
51,"integrated","agent_1","persona_1"
51,"integrated","agent_4","persona_1"
51,"memory_only","agent_4","persona_1"
51,"document_only","agent_2","persona_2"
51,"integrated","agent_1","persona_2"
51,"integrated","agent_4","persona_2"
51,"memory_only","agent_4","persona_2"
51,"document_only","agent_2","persona_3"
51,"integrated","agent_1","persona_3"
51,"integrated","agent_4","persona_3"
51,"memory_only","agent_4","persona_3"
52,"integrated","agent_2","persona_1"
52,"integrated","agent_3","persona_1"
52,"memory_only","agent_1","persona_1"
52,"memory_only","agent_2","persona_1"
52,"integrated","agent_2","persona_2"
52,"integrated","agent_3","persona_2"
52,"memory_only","agent_1","persona_2"
52,"memory_only","agent_2","persona_2"
52,"integrated","agent_2","persona_3"
52,"integrated","agent_3","persona_3"
52,"memory_only","agent_1","persona_3"
52,"memory_only","agent_2","persona_3"
53,"document_only","agent_2","persona_1"
53,"integrated","agent_4","persona_1"
53,"memory_only","agent_1","persona_1"
53,"memory_only","agent_3","persona_1"
53,"document_only","agent_2","persona_2"
53,"integrated","agent_4","persona_2"
53,"memory_only","agent_1","persona_2"
53,"memory_only","agent_3","persona_2"
53,"document_only","agent_2","persona_3"
53,"integrated","agent_4","persona_3"
53,"memory_only","agent_1","persona_3"
53,"memory_only","agent_3","persona_3"
54,"document_only","agent_4","persona_1"
54,"integrated","agent_1","persona_1"
54,"memory_only","agent_1","persona_1"
54,"memory_only","agent_4","persona_1"
54,"document_only","agent_4","persona_2"
54,"integrated","agent_1","persona_2"
54,"memory_only","agent_1","persona_2"
54,"memory_only","agent_4","persona_2"
54,"document_only","agent_4","persona_3"
54,"integrated","agent_1","persona_3"
54,"memory_only","agent_1","persona_3"
54,"memory_only","agent_4","persona_3"
55,"document_only","agent_2","persona_1"
55,"integrated","agent_1","persona_1"
55,"integrated","agent_2","persona_1"
55,"memory_only","agent_1","persona_1"
55,"document_only","agent_2","persona_2"
55,"integrated","agent_1","persona_2"
55,"integrated","agent_2","persona_2"
55,"memory_only","agent_1","persona_2"
55,"document_only","agent_2","persona_3"
55,"integrated","agent_1","persona_3"
55,"integrated","agent_2","persona_3"
55,"memory_only","agent_1","persona_3"
56,"document_only","agent_1","persona_1"
56,"document_only","agent_2","persona_1"
56,"memory_only","agent_2","persona_1"
56,"memory_only","agent_3","persona_1"
56,"document_only","agent_1","persona_2"
56,"document_only","agent_2","persona_2"
56,"memory_only","agent_2","persona_2"
56,"memory_only","agent_3","persona_2"
56,"document_only","agent_1","persona_3"
56,"document_only","agent_2","persona_3"
56,"memory_only","agent_2","persona_3"
56,"memory_only","agent_3","persona_3"
57,"document_only","agent_1","persona_1"
57,"document_only","agent_2","persona_1"
57,"integrated","agent_3","persona_1"
57,"memory_only","agent_3","persona_1"
57,"document_only","agent_1","persona_2"
57,"document_only","agent_2","persona_2"
57,"integrated","agent_3","persona_2"
57,"memory_only","agent_3","persona_2"
57,"document_only","agent_1","persona_3"
57,"document_only","agent_2","persona_3"
57,"integrated","agent_3","persona_3"
57,"memory_only","agent_3","persona_3"
58,"document_only","agent_2","persona_1"
58,"integrated","agent_1","persona_1"
58,"integrated","agent_2","persona_1"
58,"integrated","agent_3","persona_1"
58,"document_only","agent_2","persona_2"
58,"integrated","agent_1","persona_2"
58,"integrated","agent_2","persona_2"
58,"integrated","agent_3","persona_2"
58,"document_only","agent_2","persona_3"
58,"integrated","agent_1","persona_3"
58,"integrated","agent_2","persona_3"
58,"integrated","agent_3","persona_3"
59,"document_only","agent_3","persona_1"
59,"integrated","agent_3","persona_1"
59,"memory_only","agent_1","persona_1"
59,"memory_only","agent_4","persona_1"
59,"document_only","agent_3","persona_2"
59,"integrated","agent_3","persona_2"
59,"memory_only","agent_1","persona_2"
59,"memory_only","agent_4","persona_2"
59,"document_only","agent_3","persona_3"
59,"integrated","agent_3","persona_3"
59,"memory_only","agent_1","persona_3"
59,"memory_only","agent_4","persona_3"
60,"document_only","agent_1","persona_1"
60,"document_only","agent_2","persona_1"
60,"memory_only","agent_1","persona_1"
60,"memory_only","agent_3","persona_1"
60,"document_only","agent_1","persona_2"
60,"document_only","agent_2","persona_2"
60,"memory_only","agent_1","persona_2"
60,"memory_only","agent_3","persona_2"
60,"document_only","agent_1","persona_3"
60,"document_only","agent_2","persona_3"
60,"memory_only","agent_1","persona_3"
60,"memory_only","agent_3","persona_3"
61,"document_only","agent_2","persona_1"
61,"integrated","agent_2","persona_1"
61,"integrated","agent_4","persona_1"
61,"memory_only","agent_3","persona_1"
61,"document_only","agent_2","persona_2"
61,"integrated","agent_2","persona_2"
61,"integrated","agent_4","persona_2"
61,"memory_only","agent_3","persona_2"
61,"document_only","agent_2","persona_3"
61,"integrated","agent_2","persona_3"
61,"integrated","agent_4","persona_3"
61,"memory_only","agent_3","persona_3"
62,"document_only","agent_3","persona_1"
62,"integrated","agent_3","persona_1"
62,"memory_only","agent_2","persona_1"
62,"memory_only","agent_4","persona_1"
62,"document_only","agent_3","persona_2"
62,"integrated","agent_3","persona_2"
62,"memory_only","agent_2","persona_2"
62,"memory_only","agent_4","persona_2"
62,"document_only","agent_3","persona_3"
62,"integrated","agent_3","persona_3"
62,"memory_only","agent_2","persona_3"
62,"memory_only","agent_4","persona_3"
63,"document_only","agent_2","persona_1"
63,"document_only","agent_3","persona_1"
63,"integrated","agent_4","persona_1"
63,"memory_only","agent_3","persona_1"
63,"document_only","agent_2","persona_2"
63,"document_only","agent_3","persona_2"
63,"integrated","agent_4","persona_2"
63,"memory_only","agent_3","persona_2"
63,"document_only","agent_2","persona_3"
63,"document_only","agent_3","persona_3"
63,"integrated","agent_4","persona_3"
63,"memory_only","agent_3","persona_3"
64,"document_only","agent_3","persona_1"
